id	filename	md5	size	state
9c7ef64c-cdfa-4268-a645-22ffec8a8cfd	9c7ef64c-cdfa-4268-a645-22ffec8a8cfd/unc.edu.69f0bc59-c026-40e2-a3b6-88fcde091a82.1131410.rsem.genes.normalized_results	514fcb5d51b70373c2020a92f8aa0e31	433603	validated
a50698bf-8651-49cf-99e0-e46f7e40d54b	a50698bf-8651-49cf-99e0-e46f7e40d54b/unc.edu.2738d02e-ac2a-4d26-beb6-794f3e11cf88.1141631.rsem.genes.normalized_results	a1a70971cca0345054708694e6ea73b7	434540	validated
a65d0bb1-211f-4ef4-889d-02f1338a40e3	a65d0bb1-211f-4ef4-889d-02f1338a40e3/unc.edu.8a2adff0-2527-43fa-ad17-a3081e22f846.1117222.rsem.genes.normalized_results	fa61fd390ca1e8da48f29ca4f606076d	435768	validated
a9920614-78e2-484f-b00a-6770dd8197ca	a9920614-78e2-484f-b00a-6770dd8197ca/unc.edu.7b53ba9f-506e-4af7-9752-ae50e4445880.1151720.rsem.genes.normalized_results	49e8182ca797f4ee7c2bec431dfa2fe9	434628	validated
a9cb90f6-c755-4f4c-bf21-f21f17f243ad	a9cb90f6-c755-4f4c-bf21-f21f17f243ad/unc.edu.8fe6cbcd-5ffc-4bad-9fa2-90a6c1dcb662.1821928.rsem.genes.normalized_results	8acaeebb44114db367670df51ef5ebfc	437009	validated
b059c8a6-b77b-49c3-9209-e4088433f614	b059c8a6-b77b-49c3-9209-e4088433f614/unc.edu.9384eb09-5787-49e8-b07e-bd9f71997771.1150473.rsem.genes.normalized_results	82316bac49a84b3f439d60521cacd371	435548	validated
b3a235ec-d65e-48db-8049-ddfea1b3ebb8	b3a235ec-d65e-48db-8049-ddfea1b3ebb8/unc.edu.7ddad1e7-783e-4095-87e0-48dbf5c5aa39.1122095.rsem.genes.normalized_results	035b83d5498e9839d95fd7cb2c33e387	436496	validated
b7a4d2d6-ce42-46bf-9f02-ed627ec20ebe	b7a4d2d6-ce42-46bf-9f02-ed627ec20ebe/unc.edu.4a21d42c-b231-4ffc-8c15-4bd73bf610b4.1171878.rsem.genes.normalized_results	1b07345dda6fd6f9233053f1224e3b31	435962	validated
cc17c494-1c8e-4935-8f94-6fd525464191	cc17c494-1c8e-4935-8f94-6fd525464191/unc.edu.08893743-829b-4594-ab67-d5eb5e80a4f3.1348195.rsem.genes.normalized_results	c17662be2aec187a8d6fd9db9d0f2656	434135	validated
d35f3ca7-aa90-42d1-bac3-b57ba8f1335c	d35f3ca7-aa90-42d1-bac3-b57ba8f1335c/unc.edu.c14f7362-25c3-4e1a-acd7-871bb22ea8a3.1314278.rsem.genes.normalized_results	c82ff79e025e127dd30f9a2bb37ce793	434336	validated
de10b6b0-613f-4505-8f3f-d5973d6ba4de	de10b6b0-613f-4505-8f3f-d5973d6ba4de/unc.edu.7e2a8676-10a4-4abf-b153-2255e06bcb40.1169545.rsem.genes.normalized_results	ca2ce9b7a2d2228e2686b47731512175	435152	validated
ef05310b-3d3b-49a4-9fea-5003a892edbd	ef05310b-3d3b-49a4-9fea-5003a892edbd/unc.edu.3cf4fddd-7fb5-4bb6-bca8-412019df4e2d.2625175.rsem.genes.normalized_results	9e28ca54da2dc82d6e662e8a19f751f4	435964	validated
f0b8e6e6-57b2-4956-bde6-66f613e3bacc	f0b8e6e6-57b2-4956-bde6-66f613e3bacc/unc.edu.eb9b8bcb-aa3a-4e57-9479-543b53dc1cf7.2039340.rsem.genes.normalized_results	a4324cf5912ac23631e846dfd2ecb60e	435369	validated
f4901206-8ebd-4235-b943-d5668698ee37	f4901206-8ebd-4235-b943-d5668698ee37/unc.edu.16fcbaec-f629-4d04-ab61-3f9b782e710d.1116993.rsem.genes.normalized_results	068f76cf724aa93b1a5fa075056209a8	434659	validated
f5336033-4bb6-4f62-828f-4a445e24310b	f5336033-4bb6-4f62-828f-4a445e24310b/unc.edu.2aac1ce6-fc3e-474c-9e0e-5a6d05ff9168.2251190.rsem.genes.normalized_results	b343a1479c12fd4367b05fb2bb0ea858	433784	validated
fdf19100-d00c-4f26-b08f-eb89eb798875	fdf19100-d00c-4f26-b08f-eb89eb798875/unc.edu.754fd66b-f39a-4308-a57c-05de251f9014.1143960.rsem.genes.normalized_results	7d8b48a964907d16176b8014a635ff00	435200	validated
